,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.04775,0.0116970081645
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.05525,0.0458257569496
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.03825,0.0180338570472
0,loo,0.75525,100.0,300.0,0.0,3.0,0.01475,0.042083250825
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.00125,0.018266909974
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.02725,0.0189293423024
0,loo,0.75525,100.0,300.0,0.0,3.0,0.05475,0.0392300904919
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.04275,0.0181637000636
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.00375,0.0127035428129
0,loo,0.75525,100.0,300.0,0.0,3.0,0.05475,0.0392300904919
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.06575,0.00970463806641
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.02875,0.021233935104
0,loo,0.75525,100.0,300.0,0.0,3.0,0.02475,0.0414246303544
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.03075,0.00959583242872
0,loo,0.75525,100.0,300.0,0.0,3.0,0.01475,0.042083250825
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.00075,0.0182010988679
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.04525,0.0453762052182
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.04925,0.0137579068175
0,loo,0.75525,100.0,300.0,0.0,3.0,0.01475,0.042083250825
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.02975,0.0132098448136
0,loo,0.75525,100.0,300.0,0.0,3.0,0.04475,0.04
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.05975,0.012186057607
0,loo,0.75525,100.0,300.0,0.0,3.0,0.01475,0.042083250825
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.01575,0.012172920767
0,loo,0.75525,100.0,300.0,0.0,3.0,0.05475,0.0392300904919
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.05275,0.00983463268252
0,loo,0.75525,100.0,300.0,0.0,3.0,0.01475,0.042083250825
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.02175,0.0163835283135
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.05525,0.0458257569496
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.06625,0.00972522493313
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
